rang;type_de_document;nombre_de_reservations;titre_avec_lien_vers_le_catalogue;auteur
143;Livre pour adulte;119;L'enfant allemand;Läckberg, Camilla
151;Nouveauté;117;Les perroquets de la place d'Arezzo;Schmitt, Éric-Emmanuel
160;Nouveauté;113;L'année du volcan : roman;Parot, Jean-François
167;Bande dessinée jeunesse;111;Le réveil du Kréa-Kaos;Sobral, Patrick
170;DVD- vidéo > 12 ans;111;Shame;
174;;110;Pourquoi être heureux quand on peut être normal ?;Winterson, Jeannette
178;DVD-vidéo tous publics;110;Au bout du conte;
184;Livre pour adulte;109;Les gens heureux lisent et boivent du café;Martin-Lugand, Agnès
186;Livre pour adulte;108;16 lunes;Garcia, Kami
188;Nouveauté;108;Trop de bonheur;Munro, Alice
191;DVD-vidéo tous publics;107;Sur la route;
193;DVD-vidéo tous publics;106;Incendies;
199;DVD-vidéo tous publics;105;Mad men. Intégrale Saison 1;
200;DVD-vidéo tous publics;105;Oslo 31 août;
202;DVD-vidéo tous publics;105;Alceste à bicyclette;
204;Livre jeunesse;104;Trop c'est trop;Kinney, Jeff
208;DVD-vidéo tous publics;102;Inception;
218;Bande dessinée jeunesse;100;L'Alystory;Sobral, Patrick
222;Livre pour adulte;99;La glace et le feu;Martin, George R. R.
228;Livre pour adulte;98;Lisbonne : 2013;Gloaguen, Philippe
233;DVD- vidéo > 12 ans;97;The Walking Dead;
240;Livre pour adulte;95;Congo, une histoire;Van Reybrouck, David
247;Nouveauté;94;Cyanure;Läckberg, Camilla
251;DVD-vidéo tous publics;93;Le grand soir;
253;Livre pour adulte;93;Italie du Nord : 2013 : sans la Toscane, l'Ombrie, les lacs italiens, Venise et Milan;Gloaguen, Philippe
258;DVD-vidéo tous publics;92;Le passé;
259;Bande dessinée jeunesse;91;Versus inferno;Sobral, Patrick
261;DVD-vidéo tous publics;91;Magic Mike;
265;Livre jeunesse;90;Ca fait suer ! : guide de survie en milieu hostile;Kinney, Jeff
273;;89;Bloody Miami;Wolfe, Tom
276;Nouveauté;89;La garçonnière;Grémillon, Hélène
278;;88;La vague fantôme;Muchamore, Robert
283;DVD-vidéo tous publics;87;Blue Valentine;
295;Nouveauté;86;Chronique d'hiver;Auster, Paul
304;Livre pour adulte;84;L'écume des jours;Vian, Boris
307;DVD-vidéo tous publics;84;La dame de fer;
308;Nouveauté disque compact;84;Vengeance;Biolay, Benjamin
310;;84;La cuisinière d'Himmler : roman;Giesbert, Franz-Olivier
314;Nouveauté;83;Jours de pouvoir : récit;Le Maire, Bruno
320;Livre pour adulte;82;Andalousie : 2013;Gloaguen, Philippe
321;DVD-vidéo tous publics;82;Les invisibles;
322;DVD-vidéo tous publics;81;Before sunset;Linklater, Richard
329;Livre pour adulte;81;A quelques secondes près;Coben, Harlan
342;DVD-vidéo tous publics;79;Les bêtes du sud sauvage;
348;Nouveauté;78;Les désorientés : roman;Maalouf, Amin
352;;78;Délivrance : roman;Adler-Olsen, Jussi
356;DVD-vidéo tous publics;77;Le ruban blanc;
362;Livre pour adulte;76;Comme les amours;Marias, Javier
363;Livre de Fonds spécialisés;75;Eichmann à Jérusalem : rapport sur la banalité du mal;Arendt, Hannah
364;Livre pour adulte;75;La princesse des glaces : roman;Läckberg, Camilla
365;Bande dessinée jeunesse >12 ans;75;Fairy Tail. 6;Mashima, Hiro
376;Bande dessinée pour adulte;73;Piégés;Kirkman, Robert
378;DVD-vidéo tous publics;73;Jane Eyre;
380;Bande dessinée pour adulte;72;Portugal;Pedrosa, Cyril
381;Bande dessinée pour adulte;72;Le petit juge de Melun;Nury, Fabien
397;DVD-vidéo tous publics;70;L'Apollonide, souvenirs de la maison close;
400;Nouveauté;70;Kinderzimmer;Goby, Valentine
417;Livre de section jeunesse > 12 ans;68;Vandales;Muchamore, Robert
418;Livre pour adulte;68;Londres : 2012;Gloaguen, Philippe
420;Nouveauté;68;Angle mort;Astier, Ingrid
421;Livre pour adulte;68;Portugal : 2013;Gloaguen, Philippe
422;DVD-vidéo tous publics;68;The Impossible;
423;Nouveauté;68;Les renards pâles;Haenel, Yannick
424;Bande dessinée pour adulte;68;Lucille...;Kirkman, Robert
435;Livre de section jeunesse > 12 ans;66;Arizona Max : mission 3;Muchamore, Robert
436;Bande dessinée jeunesse;66;Le cimetière des autobus;Neel, Julien
438;Revue pour adulte;66;60 millions de consommateurs : le magazine sans publicité;
439;DVD-vidéo tous publics;66;A serious man;
441;Bande dessinée pour adulte;66;Aux armes, citoyens !;Nury, Fabien
446;DVD-vidéo tous publics;66;Dexter;
451;Nouveauté;66;La violence des riches : chronique d'une immense casse sociale;Pinçon, Michel
528;DVD-vidéo tous publics;60;Effets secondaires;
532;DVD- vidéo > 12 ans;59;the Walking Dead;
534;Bande dessinée jeunesse;59;Chi, une vie de chat. 7;Konami, Kanata
546;DVD-vidéo tous publics;58;L'invraisemblable vérité ; La cinquième victime;
563;DVD-vidéo tous publics;57;La main dans la main;
573;Bande dessinée jeunesse;56;Le serment des cinq lords;Sente, Yves
580;DVD-vidéo tous publics;55;Harry Potter et le prisonnier d'Azkaban;Cuaron, Alfonso
583;Livre jeunesse;55;Les cairns rouges;Vehlmann, Fabien
587;Livre pour adulte;55;Allemagne : 2012;Gloaguen, Philippe
589;Livre pour adulte;54;Cartographie des nuages;Mitchell, David
597;DVD-vidéo tous publics;54;Game of Thrones. Saison 1. épisodes 1 & 2;
603;Nouveauté disque compact;54;Parcs;Belin, Bertrand
613;DVD-vidéo tous publics;53;Millénium. 3. La reine dans le palais des courants d'air;
626;;53;Astérix chez les Pictes;Ferri, Jean-Yves
631;DVD-vidéo tous publics;52;Harry Potter et l'Ordre du Phénix;
635;;52;La page blanche;Boulet
637;DVD-vidéo tous publics;52;La petite Venise;
641;Bande dessinée jeunesse;51;Seuls. 2. Le maître des couteaux;Gazzotti, Bruno
649;Livre pour adulte;51;Vietnam;Ray, Nick
651;Livre jeunesse;51;Coeur cerise;Cassidy, Cathy
655;DVD-vidéo tous publics;51;God Bless America;
659;Nouveauté;51;Dans le silence du vent : roman;Erdrich, Louise
664;Nouveauté disque compact;50;Same girl;Nah, Youn Sun
666;DVD-vidéo tous publics;50;Le cochon de Gaza;
668;DVD- vidéo > 12 ans;50;Millénium. 2. La fille qui rêvait d'un bidon d'essence et d'une allumette;
676;Nouveauté disque compact;50;Bankrupt !;
677;Livre pour adulte;50;Hollywood Babylone;Anger, Kenneth
680;DVD-vidéo tous publics;49;Sur écoute : Intégrale Saison 2;
688;DVD- vidéo > 12 ans;49;Dexter;
690;DVD jeunesse;49;Harry Potter et les reliques de la mort : parties 1 & 2;
691;Bande dessinée pour adulte;49;A nous deux, Paris !;Nishi, Jean-Paul
693;Livre pour adulte;49;Le code d'Esther;Benyamin, Bernard
695;Nouveauté;49;Comment trouver l'amour à cinquante ans quand on est parisienne : et autres questions capitales;Morin, Pascal
701;Nouveauté disque compact;49;AM;
702;Nouveauté disque compact;49;If you wait;
713;Nouveauté;48;Le dîner : roman;Koch, Herman
717;;48;Madère;Follet, Jean-Philippe
723;DVD-vidéo tous publics;48;De l'autre côté du périph;
729;DVD-vidéo tous publics;48;Queen of Montreuil;
731;DVD-vidéo tous publics;47;Un jour sans fin;Ramis, Harold
735;Revue pour adulte;47;Philosophie magazine;
743;DVD-vidéo tous publics;47;Very Bad Trip 2;
756;Nouveauté;47;La servante du Seigneur;Fournier, Jean-Louis
764;Livre pour adulte;46;Périnée : arrêtons le massacre ! : prévenir et réparer les erreurs répétées dans la vie quotidienne, la maternité, le sport...;Gasquet, Bernadette de
786;;45;En ville;Oster, Christian
788;;45;Qatar : les secrets du coffre-fort;Chesnot, Christian
794;Bande dessinée pour adulte;44;Le goût du chlore;Vivès, Bastien
797;Livre de section jeunesse > 12 ans;44;Le grand jeu;Muchamore, Robert
799;Bande dessinée jeunesse;44;Fairy Tail. 20;Mashima, Hiro
807;DVD-vidéo tous publics;44;38 témoins;
809;DVD- vidéo > 12 ans;44;Engrenages ; Alexandra Clert, Guy-Patrick Sainderichin, adapt., Thierry Godard, Audrey Fleurot, Philippe Duclos, Grégory Fitoussi, Caroline Proust, ... act.;
811;Bande dessinée jeunesse;44;Fairy Tail. 26;Mashima, Hiro
812;Nouveauté;44;Hopper;
814;DVD-vidéo tous publics;44;Le boss;
816;Livre pour adulte;44;Yellow birds : roman;Powers, Kevin
823;Bande dessinée jeunesse >12 ans;43;Le vieux schnock;Oda, Eiichiro
830;Nouveauté;43;Purge;Oksanen, Sofi
839;DVD-vidéo tous publics;43;Tous au Larzac;
840;DVD- vidéo > 12 ans;43;Breaking bad. Saison 3. épisodes 1 à 7 ; Bryan Cranston, Aaron Paul act.;
849;Nouveauté;43;Le manipulateur : roman;Grisham, John
850;Livre pour adulte;43;Le bûcher des vanités;Wolfe, Tom
852;DVD-vidéo tous publics;43;Hannah Arendt;
854;DVD-vidéo tous publics;42;Fenetre sur cour;Hitchcock, Alfred
855;DVD-vidéo tous publics;42;Douze hommes en colère;Lumet, Sidney
858;DVD-vidéo tous publics;42;Les deux tours;Jackson, Peter
865;DVD-vidéo tous publics;42;Percy Jackson, le voleur de foudre;
872;DVD-vidéo tous publics;42;Mad men. Saison 4. épisodes 1 à 3 ; David Carbonara, comp., Jon Hamm, January Jones, Christina Hendricks..., act.;
886;Nouveauté;42;Quattrocento;Greenblatt, Stephen
889;Nouveauté disque compact;42;Right thoughts, right words, right action;
891;Livre pour adulte;42;L'analphabète qui savait compter;Jonasson, Jonas
896;Bande dessinée jeunesse;41;Main du futur;Sobral, Patrick
900;DVD-vidéo tous publics;41;Sur écoute : saison 4 ; Dominic West, John Doman, Frankie Faison, Aidan Gillen..., act., West, Dominic
912;DVD-vidéo tous publics;41;Louise Wimmer;
920;Livre pour adulte;40;Voyage au bout de la nuit;Céline, Louis-Ferdinand
929;Livre de section jeunesse > 12 ans;40;Journal d'un vampire. 2;Smith, Lisa Jane
931;DVD-vidéo tous publics;40;Tomboy;
936;Nouveauté;40;L'amour sans le faire;Joncour, Serge
939;Disque compact;40;Skyfall : BO du film de Sam Mendès;Newman, Thomas
946;Livre pour adulte;40;Palladium;Razon, Boris
948;DVD-vidéo tous publics;40;Man of Steel;
952;Livre de Fonds spécialisés;39;Dans les pas de Hannah Arendt;Adler, Laure
958;Nouveauté;39;Métronome : l'histoire de France au rythme du métro parisien;Deutsch, Lorant
961;DVD-vidéo tous publics;39;Lola;
964;Bande dessinée pour adulte;39;Fairy Tail. 14;Mashima, Hiro
970;Livre jeunesse;39;Inazuma eleven. 4;Yabuno, Tenya
981;DVD-vidéo tous publics;39;Des saumons dans le désert;
991;DVD-vidéo tous publics;38;Sueurs froides;Hitchcock, Alfred
998;DVD-vidéo tous publics;38;À bord du Darjeeling limited;
521;Nouveauté;60;Les deux messieurs de Bruxelles;Schmitt, Éric-Emmanuel
524;Nouveauté;60;Profanes : roman;Benameur, Jeanne
527;DVD-vidéo tous publics;60;Perfect Mothers;
529;Livre jeunesse;59;La mer des monstres;Riordan, Rick
530;Bande dessinée jeunesse >12 ans;59;Fairy Tail. 4;Mashima, Hiro
535;Livre pour adulte;59;Canaries;Quintero, Josephine
537;Livre pour adulte;59;Le meilleur médicament, c'est vous !;Saldmann, Frédéric
540;Livre jeunesse;58;Le feuilleton d'Hermès : la mythologie grecque en cent épisodes;Szac, Murielle
541;Bande dessinée jeunesse >12 ans;58;Fairy Tail. 8;Mashima, Hiro
542;Bande dessinée pour adulte;58;Un monde parfait;Kirkman, Robert
543;Livre pour adulte;58;Portugal : 2012;Gloaguen, Philippe
550;Livre pour adulte;57;Imparfaits, libres et heureux : pratiques de l'estime de soi;André, Christophe
554;Livre pour adulte;57;Apprends-moi à faire seul : la pédagogie Montessori expliquée aux parents;Poussin, Charlotte
558;Nouveauté;57;Une semaine de vacances;Angot, Christine
559;Nouveauté;57;Anima;Mouawad, Wajdi
570;DVD- vidéo > 12 ans;56;We need to talk about Kevin;
578;Nouveauté;56;Danse noire;Huston, Nancy
590;DVD-vidéo > 16 ans;54;Pusher : la trilogie;Winding Refn, Nicolas
593;Livre pour adulte;54;Le chagrin : roman;Duroy, Lionel
594;DVD-vidéo tous publics;54;le nom des gens;
602;Nouveauté disque compact;54;Psycho Tropical Berlin;
606;Disque compact;53;19;Adkins, Adele
607;Livre jeunesse;53;Le sort du Titan;Riordan, Rick
608;Bande dessinée pour adulte;53;Fairy Tail. 13;Mashima, Hiro
621;Nouveauté;53;Made in Germany : le modèle allemand au-delà des mythes;Duval, Guillaume
625;DVD-vidéo tous publics;53;Promised Land;
633;Livre pour adulte;52;Avant d'aller dormir;Watson, S. J.
634;Nouveauté;52;Les souvenirs;Foenkinos, David
639;Nouveauté;52;La soeur de l'ombre;MacDonald, Patricia J.
644;Livre pour adulte;51;L'écrivain de la famille : roman;Delacourt, Grégoire
646;DVD-vidéo tous publics;51;Treme;
650;Bande dessinée jeunesse;51;Chi, une vie de chat. 8;Konami, Kanata
652;Livre jeunesse;51;Kane Chronicles. 2. Le trône de feu;Riordan, Rick
669;Bande dessinée jeunesse;50;Switch girl !!. 15;Aida, Natsumi
672;Livre pour adulte;50;Marseille-Provence 2013, capitale européenne de la culture;Gloaguen, Philippe
673;Nouveauté;50;Des clous dans le coeur : roman;Thiéry, Danielle
679;Livre pour adulte;49;No et moi : roman;Vigan, Delphine de
686;Bande dessinée jeunesse;49;Inazuma eleven. 2;Yabuno, Tenya
692;;49;Fifty shades of Grey;James, E. L.
696;Nouveauté;49;Dix rêves de pierre : nouvelles;Le Callet, Blandine
699;DVD-vidéo tous publics;49;Foxfire, confessions d'un gang de filles;
705;Livre pour adulte;48;Fuir : roman;Toussaint, Jean-Philippe
710;DVD-vidéo tous publics;48;Les enfants du paradis : 1ère époque et 2ème époque;
716;Livre pour adulte;48;Sicile : 2012;Gloaguen, Philippe
725;Nouveauté disque compact;48;Modern vampires of the city;
727;DVD-vidéo tous publics;48;Warm Bodies - Renaissance;
744;Bande dessinée jeunesse;47;Le bal de printemps;Algésiras
754;DVD-vidéo tous publics;47;Möbius;
758;DVD-vidéo tous publics;46;Playtime;Tati, Jacques
762;Nouveauté;46;La carte et le territoire : roman;Houellebecq, Michel
773;Livre pour adulte;46;Je suis à l'Est ! : savant et autiste : un témoignage unique;Schovanec, Josef
774;Livre pour adulte;46;Un homme effacé : roman;Postel, Alexandre
776;DVD-vidéo tous publics;46;Molière;Mnouchkine, Ariane
781;DVD- vidéo > 12 ans;45;Shutter island;
783;Nouveauté;45;Pour seul cortège : roman;Gaudé, Laurent
785;Nouveauté;45;La guérison du monde;Lenoir, Frédéric
796;DVD jeunesse;44;Ponyo sur la falaise;Miyazaki, Hayao
803;Livre pour adulte;44;Budapest, Hongrie 2012-2013;Gloaguen, Philippe
805;Livre pour adulte;44;Le vieux qui ne voulait pas fêter son anniversaire;Jonasson, Jonas
806;Livre pour adulte;44;Nouveau code de la route 2013;Orval, Thierry
810;;44;Guide des 4.000 médicaments utiles, inutiles ou dangereux : au service des malades et des praticiens;Even, Philippe
813;DVD-vidéo tous publics;44;In another country;
815;Livre pour adulte;44;Le prénom;
819;Nouveauté;44;Ormuz;Rolin, Jean
822;Bande dessinée jeunesse >12 ans;43;La grande promesse;Oda, Eiichiro
824;Livre pour adulte;43;Kafka sur le rivage;Murakami, Haruki
831;Livre pour adulte;43;New York City : le guide;Otis, Ginger Adams
834;Livre pour adulte;43;Une femme fuyant l'annonce : roman;Grossman, David
835;Nouveauté;43;Le Chinois;Mankell, Henning
844;Livre pour adulte;43;Le braconnier du lac perdu : roman;May, Peter
845;DVD- vidéo > 12 ans;43;Expendables 2 : unité spéciale;
846;Nouveauté;43;Le bleu de la nuit;Didion, Joan
847;Livre jeunesse;43;La singulière tristesse du gâteau au citron;Bender, Aimee
851;DVD-vidéo tous publics;43;Hotel Transylvanie;
859;Livre pour adulte;42;Maîtriser les tableaux et graphiques croisés dynamiques avec Excel 2007;Jelen, Bill
874;Nouveauté;42;Rue des voleurs;Énard, Mathias
876;DVD-vidéo tous publics;42;Fringe : saison 4 ; John Noble, Joshua Jackson, Anna Torv..., act.;
877;DVD-vidéo tous publics;42;L'étrange pouvoir de Norman;
904;Livre pour adulte;41;Berlin : le guide;Schulte-Peevers, Andrea
908;Livre pour adulte;41;Italie du Sud : 2012 : sans Rome ni la Sicile;Gloaguen, Philippe
915;Nouveauté;41;Patients;Grand corps malade
921;Livre pour adulte;40;Harry Potter à l'école des sorciers;Rowling, Joanne Kathleen
924;DVD-vidéo tous publics;40;Peau d'âne;Demy, Jacques
932;Livre pour adulte;40;Assistant des bibliothèques : épreuves écrites et orale : catégorie B, tout le concours;Brunet, Jérome
941;;40;Born to die : The paradise edition;Del Rey, Lana
953;DVD-vidéo tous publics;39;La porte du paradis;Cimino, Michael
954;DVD-vidéo tous publics;39;Little Odessa;Gray, James
957;Bande dessinée jeunesse >12 ans;39;Ma première fois !;Darasse
960;DVD-vidéo tous publics;39;Avatar;
971;Livre jeunesse;39;Baisers et coquillages;Tessier, Grégory
975;DVD-vidéo tous publics;39;Les neiges du Kilimandjaro;
978;DVD-vidéo tous publics;39;Louise Wimmer;
983;Nouveauté;39;Grands-parents : à vous de jouer;Rufo, Marcel
995;DVD-vidéo tous publics;38;Rebecca;Hitchcock, Alfred
996;Livre de section jeunesse > 12 ans;38;Sang pour sang : mission 6;Muchamore, Robert
495;Livre pour adulte;62;Tokyo, Kyoto et environs : 2012-2013;Gloaguen, Philippe
497;Livre pour adulte;62;A game of thrones;Martin, George R. R.
498;DVD-vidéo tous publics;62;La nuit du chasseur;Laughton, Charles
499;Livre pour adulte;62;Languedoc-Roussillon : 2013;Gloaguen, Philippe
501;DVD-vidéo tous publics;62;Sublimes créatures;
504;Bande dessinée pour adulte;61;Le vol noir des corbeaux;Nury, Fabien
505;DVD-vidéo tous publics;61;Dans ses yeux;
507;DVD-vidéo tous publics;61;Harry Potter et les reliques de la mort, partie 1;
520;Livre pour adulte;60;Thaïlande : Texte imprimé : + plongées : 2013;Gloaguen, Philippe
522;DVD jeunesse;60;Sur la piste du marsupilami;
526;DVD-vidéo tous publics;60;Les mondes de Ralph;
531;Livre pour adulte;59;Vers la sobriété heureuse;Rabhi, Pierre
539;Livre de Fonds spécialisés;58;Aucun de nous ne reviendra;Delbo, Charlotte
553;Livre pour adulte;57;Dieu voyage toujours incognito;Gounelle, Laurent
556;Disque compact;57;Born to die;Del Rey, Lana
557;DVD-vidéo tous publics;57;Boardwalk Empire;
561;Livre pour adulte;57;Barcelone : 2013;Gloaguen, Philippe
562;Livre pour adulte;57;Il;Van Arman, Derek
566;DVD-vidéo tous publics;56;Harry Potter et la chambre des secrets;Columbus, Chris
571;Bande dessinée jeunesse;56;Fairy Tail. 25;Mashima, Hiro
581;Livre pour adulte;55;Psychothérapie d'un Indien des Plaines : réalité et rêve;Devereux, Georges
582;DVD-vidéo tous publics;55;Two lovers;Gray, James
598;Livre jeunesse;54;La guerre des clans : le pouvoir des étoiles. 3. Banni;Hunter, Erin
599;DVD-vidéo tous publics;54;Faust;
600;DVD jeunesse;54;Les cinq légendes;
609;Bande dessinée jeunesse >12 ans;53;Je savais que je te rencontrerais;Lyfoung, Patricia
620;Nouveauté;53;Le philosophe qui n'était pas sage;Gounelle, Laurent
627;Livre jeunesse;52;Minuit;Hunter, Erin
629;DVD-vidéo tous publics;52;La grande vadrouille;
630;Bande dessinée jeunesse;52;Au coeur du maelström;Vehlmann, Fabien
638;DVD- vidéo > 12 ans;52;Les revenants. Saison 1. Episode 1 à 3;
640;Livre pour adulte;52;D'eau et de feu;Bourdin, Françoise
643;Livre pour adulte;51;Le trône de fer : l'intégrale. 2;Martin, George R.R.
645;Livre pour adulte;51;Iles grecques et Athènes : 2012;Gloaguen, Philippe
653;Nouveauté disque compact;51;Lescop;Lescop
660;DVD-vidéo tous publics;51;Les gamins;
662;Bande dessinée pour adulte;50;Ceux qui restent;Kirkman, Robert
663;DVD-vidéo tous publics;50;Les moissons du ciel;
667;Nouveauté;50;Pablo. 1. Max Jacob;Birmant, Julie
684;DVD-vidéo tous publics;49;Potiche;
697;DVD-vidéo tous publics;49;Comme des frères;
700;Livre pour adulte;49;Le fil des souvenirs : roman;Hislop, Victoria
703;Livre pour adulte;49;Mudwoman;Oates, Joyce Carol
704;Nouveauté disque compact;49;Reflektor;
708;DVD-vidéo tous publics;48;Les Mystérieuses cités d'or : Intégrale (L');
712;DVD-vidéo tous publics;48;Des hommes et des dieux;
714;;48;Adieu;Expert, Jacques
715;Livre pour adulte;48;Karoo : roman;Tesich, Steve
721;Nouveauté;48;L'atelier des miracles : roman;Tong Cuong, Valérie
722;DVD-vidéo tous publics;48;Les seigneurs;
724;Nouveauté;48;Passion arabe : journal, 2011-2013;Kepel, Gilles
733;Bande dessinée jeunesse;47;In-fer-naux !;Dutto, Olivier
737;Livre de section jeunesse > 12 ans;47;La Cité des ténèbres. 2. L'épée mortelle;Clare, Cassandra
738;DVD-vidéo tous publics;47;Démineurs;
747;DVD-vidéo tous publics;47;Mission : impossible - Protocole fantôme;
749;Bande dessinée pour adulte;47;Les autres gens. 8-9;Cadène, Thomas
752;Nouveauté disque compact;47;Overgrown;Blake, James
753;DVD-vidéo tous publics;47;7 psychopathes;
757;DVD-vidéo tous publics;47;Star Trek Into Darkness;
759;Livre pour adulte;46;Cessez d'être gentil soyez vrai : être avec les autres en restant soi-même;D'Ansembourg, Thomas
760;Bande dessinée jeunesse >12 ans;46;Fairy Tail. 10;Mashima, Hiro
761;DVD-vidéo tous publics;46;Citizen Kane;
765;;46;L'enfance d'Alan;Guibert, Emmanuel
767;DVD-vidéo tous publics;46;Nouveau départ;
768;DVD-vidéo tous publics;46;Welcome in Vienna;
779;Livre jeunesse;45;Un air de famille;Cazenove
780;Livre pour adulte;45;Les heures souterraines : roman;Vigan, Delphine de
782;DVD-vidéo tous publics;45;Le cheval de Turin;
784;DVD-vidéo tous publics;45;The Dictator;
793;DVD-vidéo tous publics;44;Ceux qui m'aiment prendront le train;Chéreau, Patrice
795;Livre jeunesse;44;C'est elle qui a commencé;Cazenove, Christophe
801;Nouveauté;44;Les sauvages. 1;Louatah, Sabri
808;Bande dessinée jeunesse;44;Switch girl !!. 16;Aida, Natsumi
817;Nouveauté disque compact;44;Outrun;Kavinsky
818;Nouveauté disque compact;44;Cyclo;Zazie
821;DVD-vidéo tous publics;43;Les parapluies de Cherbourg;Demy, Jacques
826;Livre pour adulte;43;Seul dans Berlin;Fallada, Hans
827;Livre pour adulte;43;La délicatesse : roman;Foenkinos, David
829;Livre pour adulte;43;L'homme qui voulait être heureux;Gounelle, Laurent
833;Livre pour adulte;43;L'art français de la guerre;Jenni, Alexis
836;DVD-vidéo tous publics;43;Contagion;
841;Bande dessinée pour adulte;43;La multitude invisible;Peeters, Frederik
842;Nouveauté;43;Le jeu des ombres;Erdrich, Louise
843;;43;Dragons contre démons : roman;Audouin-Mamikonian, Sophie
848;DVD-vidéo tous publics;43;Au-delà des collines;
853;Livre pour adulte;42;Les mots sont des fenetres (ou bien ce sont des murs) : introduction à la communication non violente;Rosenberg, Marshall B.
857;Livre pour adulte;42;Fragments d'un discours amoureux;Barthes, Roland
870;Bande dessinée pour adulte;42;Habibi;Thompson, Craig
883;Nouveauté disque compact;42;The Lumineers;
884;Livre pour adulte;42;Iles grecques et Athènes : sans la Crète et les îles Ioniennes : 2013-2014;Gloaguen, Philippe
888;Livre de section jeunesse > 12 ans;42;Cherub. Mission 1. 100 jours en enfer;Muchamore, Robert
892;Livre pour adulte;41;L'étranger;Camus, Albert
898;Livre pour adulte;41;Robe de marié;Lemaître, Pierre
899;Livre jeunesse;41;Clair de lune;Hunter, Erin
906;Livre pour adulte;41;Le pacte;Kepler, Lars
907;Livre pour adulte;41;Chine;
909;Bande dessinée jeunesse;41;Fairy Tail. 23;Mashima, Hiro
918;DVD-vidéo tous publics;41;La rivière rouge;
922;Bande dessinée jeunesse;40;OK, let's stand up !;Oda, Eiichiro
925;Bande dessinée pour adulte;40;Maus : un survivant raconte;Spiegelman, Art
585;Livre pour adulte;55;Les écureuils de Central Park sont tristes le lundi : roman;Pancol, Katherine
586;DVD-vidéo tous publics;55;Pina;
588;DVD-vidéo tous publics;55;The Amazing Spider-man;
591;DVD-vidéo tous publics;54;Les Vacances de Monsieur Hulot;
595;Livre jeunesse;54;La guerre des clans : le pouvoir des étoiles. 1. Vision;Hunter, Erin
596;Livre pour adulte;54;La troisième révolution industrielle : comment le pouvoir latéral va transformer l'énergie, l'économie et le monde;Rifkin, Jeremy
601;Nouveauté disque compact;54;Après moi le déluge;Beaupain, Alex
605;Bande dessinée pour adulte;53;L'echappé;Rochette, Jean-Marc
610;DVD- vidéo > 12 ans;53;No country for old men;
614;Livre jeunesse;53;La guerre des clans : le pouvoir des étoiles. 2. Rivière noire;Hunter, Erin
616;Bande dessinée pour adulte;53;La grande odalisque;Vivès, Bastien
618;Livre pour adulte;53;Rome : 2013;Gloaguen, Philippe
622;Bande dessinée jeunesse;53;Lou !. 6. L'âge de cristal;Neel, Julien
624;Nouveauté;53;Le livre du roi;Arnaldur Indridason
658;Nouveauté;51;La saison de l'ombre : roman;Miano, Léonora
665;;50;L'appel de l'ange : roman;Musso, Guillaume
670;Livre pour adulte;50;Croatie : 2012-2013;
678;DVD-vidéo tous publics;50;Quartet;
681;Bande dessinée pour adulte;49;Dans l'oeil du cyclone;Kirkman, Robert
682;Bande dessinée pour adulte;49;Vers quel avenir ?;Kirkman, Robert
683;Livre pour adulte;49;Rosa candida;Olafsdottir, Audur Ava
685;DVD-vidéo tous publics;49;Les émotifs anonymes;
689;Nouveauté;49;Betty;Arnaldur Indridason
694;Enregistrement musical pour la jeunesse;49;Birdy;Birdy
707;Livre pour adulte;48;Jean-Charles Gateau présente Capitale de la douleur de Paul Eluard;Gateau, Jean-Charles
719;DVD-vidéo tous publics;48;Radiostars;
726;DVD-vidéo tous publics;48;Jappeloup;
728;DVD-vidéo tous publics;48;Downton Abbey. Saison 2. Episodes 1 à 6;
730;Livre pour adulte;48;L'identité malheureuse;Finkielkraut, Alain
732;Livre de section jeunesse > 12 ans;47;Les survivants : mission 5;Muchamore, Robert
736;Livre pour adulte;47;Trois femmes puissantes : roman;NDiaye, Marie
739;Bande dessinée jeunesse;47;Fairy Tail. 12;Mashima, Hiro
740;Livre pour adulte;47;Indonésie;
746;DVD-vidéo tous publics;47;Crazy stupid love;
748;DVD-vidéo tous publics;47;Sherlock Holmes - Jeu d'ombres;
750;Livre jeunesse;47;Héros de l'Olympe. 3. La marque d'Athéna;Riordan, Rick
755;DVD-vidéo tous publics;47;Iron Man 3;
766;Bande dessinée pour adulte;46;Magasin général. 8;Loisel, Régis
769;Livre pour adulte;46;Bruxelles : 2013;Gloaguen, Philippe
770;Bande dessinée jeunesse;46;Switch girl !!. 18;Aida, Natsumi
771;Bande dessinée jeunesse;46;Fairy Tail. 27;Mashima, Hiro
778;Livre de section jeunesse > 12 ans;45;Chute libre;Muchamore, Robert
787;Livre jeunesse;45;Le dernier gardien;Colfer, Eoin
791;DVD-vidéo tous publics;45;Le temps de l'aventure;
798;Livre pour adulte;44;Portugal;
800;Nouveauté disque compact;44;Drive : original motion picture score;
802;;44;Ariol. 7. Le maître-chien;Guibert, Emmanuel
828;Bande dessinée jeunesse >12 ans;43;Fairy Tail. 9;Mashima, Hiro
837;DVD-vidéo tous publics;43;La source des femmes;
838;DVD-vidéo tous publics;43;This Must be the Place;
860;DVD-vidéo tous publics;42;Sur écoute : Intégrale Saison 3;
861;DVD-vidéo > 16 ans;42;Reservoir dogs;Tarantino, Quentin
866;Livre pour adulte;42;Dôme. 2;King, Stephen
868;Nouveauté;42;Du domaine des murmures;Martinez, Carole
