Paris Saint-Germain;FRA
Real Madrid;ESP
Bayern Munich;ALL
En Avant Guingamp;FRA
Manchester United;ANG
Manchester City;ANG
Olympique Lyonnais;FRA
Olympique de Marseille;FRA
Juventus de Turin;ITA
Milan AC;ITA
Inter de Milan;ITA
Barcelone;ESP
