"2018-08-21";23.05
"2018-08-22";23.95
"2018-08-23";21.7
"2018-08-24";17.85
"2018-08-25";16.65
"2018-08-26";16.75
"2018-08-27";20.25
"2018-08-28";20.65
"2018-08-29";19.25
"2018-08-30";18.3
"2018-08-31";18.75
"2018-09-01";17.95
"2018-09-02";18.6
"2018-09-03";19.9
"2018-09-04";18.8
"2018-09-05";22.05
"2018-09-06";19.85
"2018-09-07";17.1
"2018-09-08";17.2
"2018-09-09";20.85
"2018-09-10";20.1
"2018-09-11";21.5
"2018-09-12";21.75
"2018-09-13";16.6
"2018-09-14";16.8
"2018-09-15";16.95
"2018-09-16";18.65
"2018-09-17";21.0
"2018-09-18";20.55
"2018-09-19";21.2
"2018-09-20";20.35
"2018-09-21";16.25
"2018-09-22";15.95
"2018-09-23";18.05
"2018-09-24";13.4
"2018-09-25";13.25
"2018-09-26";14.8
"2018-09-27";17.35
"2018-09-28";16.0
"2018-09-29";13.6
"2018-09-30";12.5
"2018-10-01";13.15
"2018-10-02";13.2
"2018-10-03";16.7
"2018-10-04";15.85
"2018-10-05";16.85
"2018-10-06";17.7
"2018-10-07";14.05
"2018-10-08";13.55
"2018-10-09";16.3
"2018-10-10";18.7
"2018-10-11";20.55
"2018-10-12";20.15
"2018-10-13";21.45
"2018-10-14";20.55
"2018-10-15";21.2
"2018-10-16";20.35
"2018-10-17";17.4
"2018-10-18";16.5
"2018-10-19";14.5
"2018-10-20";13.25
"2018-10-21";12.7
"2018-10-22";13.1
"2018-10-23";11.75
"2018-10-24";13.95
"2018-10-25";14.05
"2018-10-26";11.85
"2018-10-27";7.45
"2018-10-28";6.4
"2018-10-29";4.7
"2018-10-30";7.35
"2018-10-31";7.3
"2018-11-01";9.9
"2018-11-02";9.35
"2018-11-03";7.2
"2018-11-04";7.65
"2018-11-05";13.85
"2018-11-06";15.8
"2018-11-07";11.25
"2018-11-08";9.75
"2018-11-09";10.55
"2018-11-10";11.7
"2018-11-11";11.7
