time;gFx;gFy;gFz;ax;ay;az;wx;wy;wz;P
0.856;0.02;0.00;1.00;-0.01;0.00;0.00;0.00;0.00;0.00;0.00
0.866;0.02;0.00;1.00;0.00;-0.00;0.01;0.00;0.00;0.00;0.00
0.867;0.02;0.00;1.00;0.00;-0.00;0.01;0.00;0.00;0.00;0.00
0.868;0.02;0.00;1.00;0.00;-0.00;0.01;0.00;0.00;0.00;0.00
0.869;0.02;0.00;1.00;0.00;-0.00;0.01;0.00;0.00;0.00;0.00
0.87;0.02;0.00;1.00;0.00;-0.00;0.01;0.00;0.00;0.00;0.00
0.916;0.02;0.00;1.00;0.00;-0.00;0.01;-0.00;0.00;-0.00;0.00
0.927;0.02;0.00;1.00;-0.00;0.00;0.00;-0.00;0.00;-0.00;0.00
0.938;0.02;0.00;1.00;-0.00;0.00;0.00;-0.00;0.00;-0.00;0.00
0.939;0.02;0.00;1.00;-0.00;0.00;0.00;-0.00;0.00;-0.00;0.00
0.94;0.02;0.00;1.00;-0.00;0.00;0.00;-0.00;0.00;-0.00;0.00
0.977;0.02;0.00;1.00;-0.00;0.00;0.00;0.00;-0.00;-0.00;0.00
0.987;0.02;0.00;1.00;0.00;0.00;0.00;0.00;-0.00;-0.00;0.00
1.008;0.02;0.00;1.00;0.00;0.00;0.00;0.00;-0.00;-0.00;0.00
1.009;0.02;0.00;1.00;0.00;0.00;0.00;0.00;-0.00;-0.00;0.00
1.009;0.02;0.00;1.00;0.00;0.00;0.00;0.00;-0.00;-0.00;0.00
1.01;0.02;0.00;1.00;0.00;0.00;0.00;0.00;-0.00;-0.00;0.00
1.037;0.02;0.00;1.00;0.00;0.00;0.00;-0.00;-0.00;-0.00;0.00
1.048;0.02;0.00;1.00;0.00;0.00;0.00;-0.00;-0.00;-0.00;0.00
1.079;0.02;0.00;1.00;0.00;0.00;0.00;-0.00;-0.00;-0.00;0.00
1.08;0.02;0.00;1.00;0.00;0.00;0.00;-0.00;-0.00;-0.00;0.00
1.081;0.02;0.00;1.00;0.00;0.00;0.00;-0.00;-0.00;-0.00;0.00
1.098;0.02;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1.108;0.02;0.00;1.00;-0.00;-0.00;0.00;0.00;0.00;0.00;0.00
1.149;0.02;0.01;1.00;-0.00;-0.00;0.00;0.00;0.00;0.00;0.00
1.15;0.02;0.00;1.00;-0.00;-0.00;0.00;0.00;0.00;0.00;0.00
1.151;0.02;0.00;1.00;-0.00;-0.00;0.00;0.00;0.00;0.00;0.00
1.151;0.02;0.01;1.00;-0.00;-0.00;0.00;0.00;0.00;0.00;0.00
1.157;0.02;0.01;1.00;-0.00;-0.00;0.00;0.00;-0.00;0.00;0.00
1.168;0.02;0.01;1.00;-0.00;-0.00;-0.00;0.00;-0.00;0.00;0.00
1.22;0.02;0.01;1.00;-0.00;-0.00;-0.00;0.00;0.00;0.00;0.00
1.223;0.02;0.00;1.00;-0.00;-0.00;-0.00;0.00;0.00;0.00;0.00
1.225;0.02;0.00;1.00;-0.00;-0.00;-0.00;0.00;0.00;0.00;0.00
1.226;0.02;0.00;1.00;-0.00;-0.00;-0.00;0.00;0.00;0.00;0.00
1.231;0.02;0.00;1.00;-0.01;0.00;0.00;0.00;0.00;0.00;0.00
1.278;0.02;0.00;1.00;-0.01;0.00;0.00;-0.00;0.00;0.00;0.00
