264, Porte de Champerret
265, Porte de Charenton
266, Porte de Choisy
267, Porte de Clichy
268, Porte de Clignancourt
269, Porte de Montreuil
270, Porte de Pantin
271, Porte de Saint-Cloud
272, Porte de Saint-Ouen
273, Porte de Vanves
274, Porte de Versailles
275, Porte de Vincennes
276, Porte de la Chapelle
277, Porte de la Villette
278, Porte des Lilas
279, Porte des Lilas
280, Pré-Saint-Gervais
281, Pyramides
282, Pyramides
283, Pyrénées
284, Père Lachaise
285, Père Lachaise
286, Péreire
287, Quai de la Gare
288, Quai de la Rapée
289, Quatre Septembre
290, Rambuteau
291, Ranelagh
292, Raspail
293, Raspail
294, Rennes
295, Reuilly Diderot
296, Reuilly Diderot
297, Richard Lenoir
298, Richelieu Drouot
299, Richelieu Drouot
300, Riquet
301, Robespierre
302, Rome
303, Rue Montmartre Grands Boulevards
304, Rue Montmartre Grands Boulevards
305, Rue Saint-Maur
306, Rue de la Pompe
307, Rue des Boulets
308, Rue du Bac
309, Réaumur Sébastopol
310, Réaumur Sébastopol
311, République
312, République
313, République
314, République
315, République
316, Saint-Ambroise
317, Saint-Augustin
318, Saint-Denis-Porte de Paris
319, Saint-Denis-Université
320, Saint-Fargeau
321, Saint-Francois Xavier
322, Saint-Georges
323, Saint-Germain-des-Prés
324, Saint-Jacques
325, Saint-Lazare
326, Saint-Lazare
327, Saint-Lazare
328, Saint-Mandé Tourelle
329, Saint-Marcel
330, Saint-Michel
331, Saint-Paul Le Marais
332, Saint-Philippe du Roule
333, Saint-Placide
334, Saint-Sulpice
335, Saint-Sébastien-Froissart
336, Sentier
337, Simplon
338, Solférino
339, Stalingrad
340, Stalingrad
341, Stalingrad
342, Strasbourg Saint-Denis
343, Strasbourg Saint-Denis
344, Strasbourg Saint-Denis
345, Sully Morland
346, Sèvres Babylone
347, Sèvres Babylone
348, Sèvres Lecourbe
349, Ségur
350, Temple
351, Ternes
352, Tolbiac
353, Trinité d'Estienne d'Orves
354, Trocadéro
355, Trocadéro
356, Tuileries
357, Télégraphe
358, Vaneau
359, Varenne
360, Vaugirard
361, Vavin
362, Victor Hugo
363, Villejuif Louis Aragon
364, Villejuif Léo Lagrange
365, Villejuif P. Vaillant Couturier
366, Villiers
367, Villiers
368, Volontaires
369, Voltaire
370, Wagram
371, École Militaire
372, École Vétérinaire de Maisons-Alfort
373, Église d'Auteuil
374, Église de Pantin
375, Étienne Marcel
