0.279;100;99.9
0.28;100;99.9
0.281;100;99.9
0.282;100;99.9
0.283;100;99.9
0.284;100;99.9
0.285;100;99.9
0.286;100;99.9
0.287;100;99.9
0.288;100;99.9
0.289;100;99.9
0.29;100;99.9
0.291;100;99.9
0.292;100;99.9
0.293;100;99.9
0.294;100;99.9
0.295;100;99.9
0.296;100;99.9
0.297;100;99.9
0.298;100;99.9
0.299;100;99.9
0.3;100;99.9
